Species,ID_pine,ID_spruce,GO,ID_arabidopsis,Gene name,Gene description,Expression,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Scots pine ,PITA_000068766,MA_10090g0010,GO:0003871,AT5G17920.2,ATCIMS,,,,,,,,
Norway spruce,,MA_10101473g0010,,AT3G48270.1,CYP71A26,cytochrome P450,,,,,,,
Scots pine ,PITA_000087793,MA_10101473g0010,,AT3G48270.1,CYP71A26,cytochrome P450,,,,,,,
Norway spruce,,MA_10152409g0010,,AT2G14095.1,,unknown,SHADE>SUN,116.9694652,-0.745183842,0.200609994,-3.714589832,0.000203534,0.005531999
Scots pine ,PITA_000058449,MA_10152409g0010,,AT2G14095.1,,unknown,SHADE<SUN,125.2553391,0.432757367,0.322585594,1.341527258,0.179749326,0.552823632
Scots pine ,PITA_000040640,MA_10152409g0010,,AT2G14095.1,,unknown,SHADE>SUN,161.8586707,-0.515342189,0.49054612,-1.050547885,0.293466287,0.705044496
Scots pine ,PITA_000053272,MA_10152409g0010,,AT2G14095.1,,unknown,SHADE>SUN,114.975233,-0.55248649,0.426176282,-1.296380191,0.194844533,0.577132766
Scots pine ,PITA_000063461,MA_10152409g0010,,AT2G14095.1,,unknown,SHADE>SUN,12.72050593,-0.614569395,0.652856293,-0.941354784,0.346523077,0.730295799
Norway spruce,,MA_1015570g0010,,AT1G19715.3,,Mannose-binding lectin superfamily protein,SHADE<SUN,202.9927284,2.020950206,0.536146342,3.769400343,0.00016364,0.004645857
Scots pine ,PITA_000033329,MA_1015570g0010,,AT1G19715.3,,Mannose-binding lectin superfamily protein,SHADE<SUN,215.2495198,0.79460777,0.285391847,2.78426934,0.005364846,0.048278272
Norway spruce,,MA_10164206g0010,GO:0004519,AT1G11290.1,CRR22,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,532.2154309,1.307499482,0.294357283,4.441879161,8.92E-06,0.000419758
Scots pine ,PITA_000085793,MA_10164206g0010,GO:0004519,AT1G11290.1,CRR22,Pentatricopeptide repeat (PPR) superfamily protein,SHADE<SUN,116.1341793,0.610272429,0.650705138,0.937863239,0.348314697,0.730295799
Norway spruce,,MA_101835g0010,,AT5G17450.2,,Heavy metal transport/detoxification superfamily protein ,SHADE<SUN,520.2144586,1.444350935,0.358635254,4.027353471,5.64E-05,0.001927839
Scots pine ,PITA_000071033,MA_101835g0010,,AT5G17450.2,ATCESA7,,,,,,,,
Scots pine ,PITA_000028364,MA_101835g0010,,AT5G17450.2,ATCESA7,,,,,,,,
Scots pine ,PITA_000046196,MA_101835g0010,,AT5G17450.2,ATCESA7,,,,,,,,
Norway spruce,,MA_101849g0010,,AT2G17040.1,anac036,,,,,,,,
Scots pine ,PITA_000088274,MA_101849g0010,,AT2G17040.1,anac036,,,,,,,,
Scots pine ,PITA_000059194,MA_101849g0010,,AT2G17040.1,anac036,,,,,,,,
Scots pine ,PITA_000059193,MA_101849g0010,,AT2G17040.1,anac036,,,,,,,,
Norway spruce,,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE>SUN,209.1296191,-1.284935764,0.230212141,-5.581529093,2.38E-08,2.27E-06
Scots pine ,PITA_000088525,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE<SUN,2.070992858,0.168281973,0.843435337,0.199519709,0.841856228,0.968375552
Scots pine ,PITA_000071060,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE>SUN,90.68327931,-0.300049925,0.533129479,-0.562808729,0.573565136,0.881232477
Scots pine ,PITA_000032685,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE>SUN,249.208164,-0.413590576,0.619513879,-0.667605021,0.504385752,0.842403334
Scots pine ,PITA_000078745,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE>SUN,30.4194204,-0.549380628,0.857017756,-0.641037626,0.521498237,0.85385922
Scots pine ,PITA_000023255,MA_10185829g0010,GO:0016023,AT1G02335.1,GL22,germin-like protein subfamily 2 member 2 precursor,SHADE>SUN,82.35111199,-0.723187741,0.301603648,-2.397808336,0.016493493,0.11435906
Norway spruce,,MA_10192193g0020,GO:0016020,AT1G25440.1,,B-box type zinc finger protein with CCT domain,SHADE>SUN,243.4832478,-0.958822721,0.247015818,-3.881624781,0.000103761,0.003212245
Scots pine ,PITA_000071756,MA_10192193g0020,GO:0016020,AT1G25440.1,,B-box type zinc finger protein with CCT domain,SHADE>SUN,71.23325569,-0.362660184,0.460116391,-0.788192274,0.430584248,0.792333499
Norway spruce,,MA_10201g0010,GO:0003723,AT4G22380.1,,Ribosomal protein L7Ae/L30e/S12e/Gadd45 family protein,SHADE<SUN,112.2468731,0.79926998,0.234742935,3.404873415,0.000661947,0.014082784
Scots pine ,PITA_000076526,MA_10201g0010,GO:0003723,AT4G22380.1,,unknown,SHADE<SUN,89.06621387,0.080035557,0.175252658,0.456686695,0.647896255,0.910857803
Scots pine ,PITA_000071820,MA_10201g0010,GO:0003723,AT4G22380.1,,unknown,SHADE<SUN,106.3825532,0.375143171,0.314535913,1.19268788,0.232991634,0.630975137
Scots pine ,PITA_000019897,MA_10201g0010,GO:0003723,AT4G22380.1,,unknown,SHADE>SUN,106.8020746,-0.050682165,0.279400312,-0.181396235,0.856056574,0.972625307
Norway spruce,,MA_10207337g0010,GO:0005634,AT1G24620.1,,EF hand calcium-binding protein family,SHADE<SUN,318.7504966,0.933138875,0.195305258,4.777848201,1.77E-06,0.000104547
Scots pine ,PITA_000044181,MA_10207337g0010,GO:0005634,AT1G24620.1,,EF hand calcium-binding protein family,SHADE>SUN,64.58325488,-0.258352903,0.469780365,-0.549944022,0.582357769,0.885047057
Norway spruce,,MA_102298g0010,GO:0004601,AT5G51890.1,,Peroxidase superfamily protein,SHADE<SUN,463.0925966,1.811629652,0.457163845,3.962757927,7.41E-05,0.002420276
Scots pine ,PITA_000074209,MA_102298g0010,GO:0004601,AT5G51890.1,,Peroxidase superfamily protein,SHADE<SUN,721.4259704,0.422035229,0.787895528,0.535648717,0.592201352,0.889252091
Scots pine ,PITA_000029174,MA_102298g0010,GO:0004601,AT5G51890.1,,Peroxidase superfamily protein,SHADE>SUN,55.8979741,-0.609129335,0.65044118,-0.936486425,0.349022799,0.730295799
Norway spruce,,MA_10248752g0010,,AT3G23330.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,239.6415593,1.616295029,0.362264708,4.461640881,8.13E-06,0.000387245
Scots pine ,PITA_000017406,MA_10248752g0010,,AT3G23330.1,,Tetratricopeptide repeat (TPR)-like superfamily protein,SHADE<SUN,51.53894367,0.883102987,0.81761925,1.080090748,0.280101772,0.690262277
Norway spruce,,MA_102706g0010,,AT5G21940.1,,unknown,SHADE>SUN,39.62801209,-1.505957489,0.350157552,-4.300799678,1.70E-05,0.000711333
Scots pine ,PITA_000003657,MA_102706g0010,,AT5G21940.1,,unknown,SHADE<SUN,50.56550404,0.758708204,0.856758912,0.885556243,0.375856699,0.749390223
Scots pine ,PITA_000047341,MA_102706g0010,,AT5G21940.1,,unknown,SHADE>SUN,60.08631285,-0.760642646,0.853704583,-0.890990468,0.372934284,0.746364381
Norway spruce,,MA_10301477g0010,,AT2G04160.1,AIR3,Subtilisin-like serine endopeptidase family protein,SHADE<SUN,1003.859675,1.242422099,0.353677129,3.512870915,0.000443293,0.010239736
Scots pine ,PITA_000091211,MA_10301477g0010,,AT2G04160.1,AIR3,Subtilisin-like serine endopeptidase family protein,SHADE<SUN,118.5256963,0.607512792,0.518388838,1.17192491,0.241227205,0.64144184
Scots pine ,PITA_000095980,MA_10301477g0010,,AT2G04160.1,AIR3,Subtilisin-like serine endopeptidase family protein,SHADE>SUN,47.65555804,-1.039332521,0.473004709,-2.197298466,0.027999137,0.169155991
Norway spruce,,MA_10344118g0010,GO:0003824,AT1G26560.1,BGLU40,beta glucosidase 40,SHADE>SUN,200.9256752,-2.797552654,0.467174049,-5.988244982,2.12E-09,2.58E-07
Scots pine ,PITA_000078367,MA_10344118g0010,GO:0003824,AT1G26560.1,BGLU40,beta glucosidase 40,SHADE<SUN,409.3295352,0.109487908,0.7375754,0.148443003,0.881993164,0.979688509
Scots pine ,PITA_000057275,MA_10344118g0010,GO:0003824,AT1G26560.1,BGLU40,beta glucosidase 40,SHADE>SUN,162.1273124,-0.016238244,0.765344975,-0.021216895,0.983072637,0.997049289
Norway spruce,,MA_103716g0010,,AT1G67750.1,,Pectate lyase family protein,SHADE<SUN,1499.87914,2.569436542,0.47759808,5.379913887,7.45E-08,6.25E-06
Scots pine ,PITA_000029389,MA_103716g0010,,AT1G67750.1,,Pectate lyase family protein,SHADE<SUN,233.1282222,0.137476673,0.745935769,0.184300953,0.853777367,0.971918637
Norway spruce,,MA_10394370g0010,GO:0004553,AT1G26560.1,BGLU40,beta glucosidase 40,SHADE>SUN,160.9973494,-2.236499963,0.383206973,-5.836271567,5.34E-09,5.88E-07
Scots pine ,PITA_000095546,MA_10394370g0010,GO:0004553,AT1G26560.1,BGLU40,beta glucosidase 40,SHADE<SUN,232.6102602,0.652684647,0.854194123,0.764094049,0.444811198,0.804791665
Norway spruce,,MA_103976g0010,,AT1G29340.1,ATPUB17,,,,,,,,
Scots pine ,PITA_000038358,MA_103976g0010,,AT1G29340.1,ATPUB17,,,,,,,,
Scots pine ,PITA_000034202,MA_103976g0010,,AT1G29340.1,ATPUB17,,,,,,,,
Norway spruce,,MA_104034g0010,GO:0000786,AT5G66750.1,ATDDM1,,,,,,,,
Scots pine ,PITA_000016335,MA_104034g0010,GO:0000786,AT5G66750.1,ATDDM1,,,,,,,,
Scots pine ,PITA_000092859,MA_104034g0010,GO:0000786,AT5G66750.1,ATDDM1,,,,,,,,
Norway spruce,,MA_104045g0010,,AT1G22690.3,,Gibberellin-regulated family protein,SHADE>SUN,15.90452939,-2.38803707,0.594996807,-4.01352922,5.98E-05,0.002029291
Scots pine ,PITA_000063861,MA_104045g0010,,AT1G22690.3,,Gibberellin-regulated family protein,SHADE>SUN,29.26115843,-1.014562479,0.515971535,-1.966314827,0.049262255,0.250998508
Norway spruce,,MA_10425790g0010,,AT5G17540.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,113.945596,-2.130212234,0.538922776,-3.952722595,7.73E-05,0.00249848
Scots pine ,PITA_000078904,MA_10425790g0010,,AT5G17540.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,212.6453069,-0.243374573,0.386477588,-0.629724931,0.528874568,0.858261083
Scots pine ,PITA_000028782,MA_10425790g0010,,AT5G17540.1,,HXXXD-type acyl-transferase family protein,SHADE>SUN,58.99240126,-0.558550775,0.37988839,-1.470302302,0.141479898,0.482907031
Norway spruce,,MA_10425835g0010,,AT2G43180.2,,Phosphoenolpyruvate carboxylase family protein,SHADE<SUN,239.9002443,0.788684437,0.168859059,4.670667015,3.00E-06,0.000166477
Scots pine ,PITA_000007446,MA_10425835g0010,,AT2G43180.2,,Phosphoenolpyruvate carboxylase family protein,SHADE>SUN,352.9408681,-0.97340354,0.789091574,-1.233574875,0.21736136,0.608998388
Norway spruce,,MA_10425845g0010,,AT3G53810.1,,Concanavalin A-like lectin protein kinase family protein,SHADE<SUN,49.01944002,1.811728929,0.44624175,4.059971821,4.91E-05,0.001721368
Scots pine ,PITA_000026043,MA_10425845g0010,,AT3G53810.1,,Concanavalin A-like lectin protein kinase family protein,SHADE>SUN,53.97028599,-0.78726876,0.665719442,-1.182583398,0.236974296,0.636188994
Norway spruce,,MA_10425853g0010,GO:0016787,AT2G32780.1,ATUBP1,,,,,,,,
Scots pine ,PITA_000061053,MA_10425853g0010,GO:0016787,AT2G32780.1,ATUBP1,,,,,,,,
Norway spruce,,MA_10425865g0020,,AT1G27170.1,,transmembrane receptors;ATP binding,SHADE>SUN,68.76052172,-1.08013692,0.273795574,-3.945048875,7.98E-05,0.002567833
Scots pine ,PITA_000052773,MA_10425865g0020,,AT1G27170.1,,transmembrane receptors;ATP binding,SHADE<SUN,170.574807,0.42887766,0.76445543,0.56102376,0.57478134,0.881895537
Scots pine ,PITA_000064684,MA_10425865g0020,,AT1G27170.1,,transmembrane receptors;ATP binding,SHADE>SUN,48.89099261,-1.073219929,0.56333088,-1.905132431,0.056762859,0.276617869
Norway spruce,,MA_10426188g0020,,AT5G20480.1,EFR,EF-TU receptor,SHADE>SUN,98.50205166,-1.347993456,0.393321287,-3.427206967,0.000609824,0.013197899
Scots pine ,PITA_000060150,MA_10426188g0020,,AT5G20480.1,EFR,EF-TU receptor,SHADE<SUN,66.35623056,1.167496271,0.426660757,2.736357286,0.006212354,0.054257439
Norway spruce,,MA_10426191g0010,GO:0009407,AT2G35730.1,,Heavy metal transport/detoxification superfamily protein ,SHADE>SUN,32.90797548,-2.18895513,0.494796312,-4.423951994,9.69E-06,0.000447023
Scots pine ,PITA_000085990,MA_10426191g0010,GO:0009407,AT2G35730.1,,Heavy metal transport/detoxification superfamily protein ,SHADE<SUN,174.5212802,0.519352413,0.696078451,0.746111896,0.455599824,0.813075994
Norway spruce,,MA_10426218g0010,GO:0008889,AT3G02040.1,SRG3,senescence-related gene 3,SHADE>SUN,54.06982622,-1.012427424,0.294914059,-3.432957473,0.000597036,0.012981845
Scots pine ,PITA_000054459,MA_10426218g0010,GO:0008889,AT3G02040.1,SRG3,senescence-related gene 3,SHADE>SUN,229.9327741,-0.063832211,0.650837121,-0.09807709,0.92187108,0.987338785
Scots pine ,PITA_000084359,MA_10426218g0010,GO:0008889,AT3G02040.1,SRG3,senescence-related gene 3,SHADE>SUN,44.76912121,-0.297499615,0.351318006,-0.846810042,0.39710101,0.765803152
Scots pine ,PITA_000062412,MA_10426218g0010,GO:0008889,AT3G02040.1,SRG3,senescence-related gene 3,SHADE>SUN,41.28128763,-0.405349589,0.36987184,-1.09591903,0.27311421,0.681239311
Norway spruce,,MA_10426237g0010,GO:0003677,AT4G02060.2,MCM7,,,,,,,,
Scots pine ,PITA_000014288,MA_10426237g0010,GO:0003677,AT4G02060.2,MCM7,,,,,,,,
Norway spruce,,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000039968,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000005290,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000018217,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000007991,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000058354,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000087953,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Scots pine ,PITA_000090763,MA_10426264g0020,,AT5G13930.1,ATCHS,,,,,,,,
Norway spruce,,MA_10426320g0010,,AT5G56960.1,,basic helix-loop-helix (bHLH) DNA-binding family protein,SHADE>SUN,152.0089042,-5.367970945,0.690068072,-7.778900603,7.32E-15,2.20E-12
Scots pine ,PITA_000073856,MA_10426320g0010,,AT5G56960.1,,basic helix-loop-helix (bHLH) DNA-binding family protein,SHADE<SUN,13.0588127,0.059998272,0.649316228,0.092402237,0.926378462,0.987338785
Norway spruce,,MA_10426542g0010,,AT5G42800.1,DFR,,,,,,,,
Scots pine ,PITA_000084015,MA_10426542g0010,,AT5G42800.1,DFR,,,,,,,,
Scots pine ,PITA_000088562,MA_10426542g0010,,AT5G42800.1,DFR,,,,,,,,
Scots pine ,PITA_000079358,MA_10426542g0010,,AT5G42800.1,DFR,,,,,,,,
Norway spruce,,MA_10426544g0010,GO:0004365,AT3G04120.1,GAPC,,,,,,,,
Scots pine ,PITA_000040203,MA_10426544g0010,GO:0004365,AT3G04120.1,GAPC,,,,,,,,
Scots pine ,PITA_000041975,MA_10426544g0010,GO:0004365,AT3G04120.1,GAPC,,,,,,,,
Scots pine ,PITA_000041976,MA_10426544g0010,GO:0004365,AT3G04120.1,GAPC,,,,,,,,
Scots pine ,PITA_000041435,MA_10426544g0010,GO:0004365,AT3G04120.1,GAPC,,,,,,,,
Norway spruce,,MA_10426564g0030,GO:0000023,AT5G01410.1,ATPDX1,,,,,,,,
Scots pine ,PITA_000040074,MA_10426564g0030,GO:0000023,AT5G01410.1,ATPDX1,,,,,,,,
Scots pine ,PITA_000080267,MA_10426564g0030,GO:0000023,AT5G01410.1,ATPDX1,,,,,,,,
Scots pine ,PITA_000036478,MA_10426564g0030,GO:0000023,AT5G01410.1,ATPDX1,,,,,,,,
Scots pine ,PITA_000058779,MA_10426564g0030,GO:0000023,AT5G01410.1,ATPDX1,,,,,,,,
Norway spruce,,MA_10426777g0010,GO:0000911,AT2G07690.1,MCM5,Minichromosome maintenance (MCM2/3/5) family protein,SHADE<SUN,290.9874329,0.994895881,0.257395568,3.865240915,0.00011098,0.003390116
Scots pine ,PITA_000032321,MA_10426777g0010,GO:0000911,AT2G07690.1,MCM5,Minichromosome maintenance (MCM2/3/5) family protein,SHADE<SUN,116.1341793,0.610272429,0.650705138,0.937863239,0.348314697,0.730295799
Norway spruce,,MA_10426889g0010,GO:0008661,AT4G15560.1,CLA,,,,,,,,
Scots pine ,PITA_000071321,MA_10426889g0010,GO:0008661,AT4G15560.1,CLA,,,,,,,,
Norway spruce,,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000065711,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000085230,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000051675,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000025907,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000057135,MA_10427075g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Norway spruce,,MA_10427158g0010,GO:0003924,AT5G55190.1,ATRAN3,,,,,,,,
Scots pine ,PITA_000010017,MA_10427158g0010,GO:0003924,AT5G55190.1,ATRAN3,,,,,,,,
Norway spruce,,MA_10427209g0020,GO:0000165,AT1G64060.1,ATRBOH F,,,,,,,,
Scots pine ,PITA_000087113,MA_10427209g0020,GO:0000165,AT1G64060.1,ATRBOH F,,,,,,,,
Norway spruce,,MA_10427218g0010,GO:0006108,AT2G19900.1,ATNADP-ME1,,,,,,,,
Scots pine ,PITA_000028229,MA_10427218g0010,GO:0006108,AT2G19900.1,ATNADP-ME1,,,,,,,,
Norway spruce,,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000091853,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000054771,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000032770,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000038956,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000081141,MA_10427221g0010,GO:0005488,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Norway spruce,,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE>SUN,89.49848298,-1.913803882,0.463685943,-4.127370926,3.67E-05,0.001347442
Scots pine ,PITA_000053886,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE<SUN,91.28141284,0.472141809,0.217354763,2.172217452,0.029839265,0.17711385
Scots pine ,PITA_000086187,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE<SUN,104.16986,0.572396584,0.763818329,0.749388384,0.45362315,0.811566211
Scots pine ,PITA_000034947,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE<SUN,111.3961138,1.211354728,0.521780179,2.321580577,0.020255531,0.133636197
Scots pine ,PITA_000010272,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE>SUN,247.6973284,-0.419958841,0.310636816,-1.351928745,0.176398111,0.546374396
Scots pine ,PITA_000092224,MA_10427421g0010,GO:0008152,AT4G28570.1,,Long-chain fatty alcohol dehydrogenase family protein,SHADE>SUN,88.49577006,-0.427645355,0.366745476,-1.166054889,0.243592254,0.644819824
Norway spruce,,MA_10427515g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000012639,MA_10427515g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Scots pine ,PITA_000020244,MA_10427515g0010,GO:0016491,AT2G45560.1,CYP76C1,cytochrome P450,,,,,,,
Norway spruce,,MA_10427517g0010,,AT4G39230.1,,NmrA-like negative transcriptional regulator family protein,SHADE<SUN,156.1139741,0.831207213,0.181886992,4.569910175,4.88E-06,0.000253909
Scots pine ,PITA_000043679,MA_10427517g0010,,AT4G39230.1,,NmrA-like negative transcriptional regulator family protein,SHADE<SUN,51.36055776,0.235619558,0.25312713,0.930834863,0.351938993,0.730381243
Scots pine ,PITA_000001059,MA_10427517g0010,,AT4G39230.1,,NmrA-like negative transcriptional regulator family protein,SHADE>SUN,62.84384898,-0.589584162,0.2273745,-2.593009163,0.009514024,0.075598822
Norway spruce,,MA_10427944g0010,GO:0004176,AT3G10420.2,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE<SUN,1454.384705,0.680782721,0.199111676,3.419099944,0.000628286,0.013498382
Scots pine ,PITA_000024240,MA_10427944g0010,GO:0004176,AT3G10420.2,,P-loop containing nucleoside triphosphate hydrolases superfamily protein,SHADE<SUN,1211.650484,0.713464787,0.685082752,1.041428623,0.297676664,0.709459661
Norway spruce,,MA_10428260g0010,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000067031,MA_10428260g0010,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000011385,MA_10428260g0010,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000072957,MA_10428260g0010,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000020568,MA_10428260g0010,GO:0000041,AT5G23190.1,CYP86B1,cytochrome P450,,,,,,,
Scots pine ,PITA_000016211,MA_10428327g0010,GO:0003676,AT3G13440.1,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,SHADE<SUN,128.2589214,1.106950201,0.856507424,1.292400007,0.196218654,0.579767188
Scots pine ,PITA_000057318,MA_10428327g0010,GO:0003676,AT3G13440.1,,S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,SHADE>SUN,57.43288706,-0.275401001,0.85477936,-0.322189578,0.747309079,0.942335504
